"","PlayerId","yr","TmAbbrev","G","A","Hits","Blocked","Missed","SOG","Wrist","Snap","Tip","Back","Slap","Deflected"
"1","","2014",NA,0,0,0,0,0,0,0,0,0,0,0,0
"2","8471976","2014","MTL",14,33,45,51,31,75,38,7,3,13,11,2
"3","8471296","2014","MTL",3,12,224,129,31,44,21,5,0,0,18,0
"4","8475098","2014","TOR",20,23,70,32,46,109,49,27,18,13,0,2
"5","8470207","2014","TOR",9,11,69,20,36,82,33,24,8,7,8,2
"6","8475848","2014","MTL",21,23,57,46,73,231,132,17,15,30,34,1
"7","8467496","2014","MTL",10,36,51,177,71,120,61,8,1,4,46,0
"8","8475295","2014","TOR",1,2,20,3,0,6,6,0,0,0,0,0
"9","8470104","2014","MTL",3,10,62,168,32,64,35,6,0,3,20,0
"10","8471392","2014","TOR",5,3,211,118,29,50,25,7,0,3,15,0
"11","8471390","2014","TOR",12,19,52,34,34,123,65,27,5,13,8,2
"12","8468478","2014","MTL",0,4,30,47,6,6,2,0,0,0,4,0
"13","8470920","2014","TOR",10,4,121,17,43,79,43,13,9,9,3,1
"14","8474189","2014","MTL",13,13,80,37,51,135,76,18,9,15,14,0
"15","8476470","2014","MTL",1,8,43,61,29,50,28,5,0,1,15,1
"16","8473463","2014","TOR",6,17,219,23,24,61,32,18,2,6,3,0
"17","8467334","2014","MTL",1,3,33,60,16,39,21,6,1,4,7,0
"18","8471283","2014","MTL",5,16,131,37,27,87,61,3,6,9,8,0
"19","8475180","2014","TOR",11,11,80,19,26,65,32,15,7,4,5,1
"20","8474056","2014","MTL",15,44,99,145,85,160,61,4,0,7,88,0
"21","8475172","2014","TOR",18,20,107,18,62,145,76,40,8,10,7,1
"22","8469521","2014","MTL",23,34,53,54,68,222,133,36,5,18,26,3
"23","8469707","2014","MTL",8,13,39,13,34,88,57,8,2,9,12,0
"24","8474157","2014","MTL",40,30,103,45,114,269,154,42,10,35,24,4
"25","8471679","2014","MTL",0,1,0,0,0,0,0,0,0,0,0,0
"26","8476478","2014","TOR",0,3,12,10,3,10,8,0,0,0,2,0
"27","8471504","2014","MTL",4,6,49,9,31,62,36,5,2,6,9,1
"28","8474581","2014","TOR",4,19,86,67,49,90,39,12,1,2,36,0
"29","8478137","2014","MTL",9,14,81,28,40,75,43,5,2,13,10,1
"30","8473541","2014","TOR",0,1,0,0,0,0,0,0,0,0,0,0
"31","8462196","2014","TOR",1,6,123,66,22,31,8,9,0,0,14,0
"32","8473548","2014","TOR",21,31,16,12,74,223,141,56,4,5,13,1
"33","8474668","2014","MTL",12,17,171,40,36,96,61,5,7,12,7,0
"34","8476851","2014","MTL",20,25,91,45,70,137,87,13,8,19,6,1
"35","8474037","2014","TOR",22,26,69,23,75,185,84,42,11,33,9,1
"36","8471476","2014","TOR",8,23,121,66,40,84,38,20,8,10,5,3
"37","8470602","2014","TOR",3,24,146,106,75,120,33,24,1,2,60,0
"38","8476853","2014","TOR",8,19,77,93,51,125,89,24,0,5,7,0
"39","8474192","2014","TOR",0,0,3,3,1,6,6,0,0,0,0,0
"40","8470638","2014","BOS",19,28,47,50,72,169,83,42,14,12,15,0
"41","8470601","2014","PHI",2,11,103,83,29,76,26,13,0,6,31,0
"42","8473419","2014","BOS",21,13,55,26,44,125,78,31,3,8,4,0
"43","8476461","2014","PHI",14,18,64,29,40,110,56,30,4,10,9,1
"44","8471717","2014","BOS",1,5,114,75,21,49,18,8,0,0,23,0
"45","8471269","2014","PHI",5,7,107,72,18,27,10,6,0,1,10,0
"46","8474190","2014","PHI",20,20,138,27,53,127,69,24,7,11,10,3
"47","8469619","2014","BOS",2,8,181,116,23,81,29,26,0,0,26,0
"48","8467967","2014","BOS",7,15,100,52,37,74,27,15,7,9,13,1
"49","8468309","2014","PHI",8,39,51,82,44,113,23,26,2,1,59,1
